case,openings,hammer_events,trr_events,para_events,bitflips,critical_bitflips,noncritical_bitflips,critical_trr_events,noncritical_trr_events,critical_para_events,noncritical_para_events,budget_blocks,budget_resets,prob_checks,prob_successes,para_checks,para_successes,budget_used_final_window,memory_system_cycles,num_read_reqs_0,read_latency_0,avg_read_latency_0,queue_len_avg_0,read_queue_len_avg_0,priority_queue_len_avg_0,row_conflicts_0,read_row_conflicts_0,row_misses_0,read_row_misses_0,row_hits_0,read_row_hits_0
para_sec_h1_ps1_linear_nr1024,78,78,0,6,28,0,28,0,0,2,4,0,0,150,28,156,6,0/32,188396,72,12557,174.402771,0.0631489009,0.0581381768,0.00501072221,41,41,31,31,0,0
para_sec_h1_ps1_linear_nr128,78,78,0,6,39,0,39,0,0,2,4,0,0,148,39,154,6,0/32,188405,72,12585,174.791672,0.0632891878,0.0582787097,0.00501048286,41,41,31,31,0,0
para_sec_h1_ps1_linear_nr256,78,78,0,6,32,0,32,0,0,2,4,0,0,150,32,156,6,0/32,188396,72,12557,174.402771,0.0631489009,0.0581381768,0.00501072221,41,41,31,31,0,0
para_sec_h1_ps1_linear_nr64,77,77,0,5,47,2,45,0,0,1,4,0,0,146,47,151,5,0/32,188311,72,11208,155.666672,0.0551481321,0.0509104617,0.00423767045,40,40,32,32,0,0
para_sec_h1_ps1_sigmoid_nr1024,78,78,0,6,7,0,7,0,0,2,4,0,0,150,7,156,6,0/32,188396,72,12557,174.402771,0.0631489009,0.0581381768,0.00501072221,41,41,31,31,0,0
para_sec_h1_ps1_sigmoid_nr128,78,78,0,6,13,0,13,0,0,2,4,0,0,148,13,154,6,0/32,188405,72,12585,174.791672,0.0632891878,0.0582787097,0.00501048286,41,41,31,31,0,0
para_sec_h1_ps1_sigmoid_nr256,78,78,0,6,8,0,8,0,0,2,4,0,0,150,8,156,6,0/32,188396,72,12557,174.402771,0.0631489009,0.0581381768,0.00501072221,41,41,31,31,0,0
para_sec_h1_ps1_sigmoid_nr64,77,77,0,5,21,1,20,0,0,1,4,0,0,146,21,151,5,0/32,188311,72,11208,155.666672,0.0551481321,0.0509104617,0.00423767045,40,40,32,32,0,0
para_sec_h1_ps1_step_nr1024,78,78,0,6,150,7,143,0,0,2,4,0,0,150,150,156,6,0/32,188396,72,12557,174.402771,0.0631489009,0.0581381768,0.00501072221,41,41,31,31,0,0
para_sec_h1_ps1_step_nr128,78,78,0,6,148,7,141,0,0,2,4,0,0,148,148,154,6,0/32,188405,72,12585,174.791672,0.0632891878,0.0582787097,0.00501048286,41,41,31,31,0,0
para_sec_h1_ps1_step_nr256,78,78,0,6,150,7,143,0,0,2,4,0,0,150,150,156,6,0/32,188396,72,12557,174.402771,0.0631489009,0.0581381768,0.00501072221,41,41,31,31,0,0
para_sec_h1_ps1_step_nr64,77,77,0,5,146,8,138,0,0,1,4,0,0,146,146,151,5,0/32,188311,72,11208,155.666672,0.0551481321,0.0509104617,0.00423767045,40,40,32,32,0,0
para_sec_h1_ps2_linear_nr1024,79,79,0,7,1,0,1,0,0,1,6,0,0,5,1,158,7,0/32,188420,72,13353,185.458328,0.0685277581,0.062742807,0.00578494836,42,42,30,30,0,0
para_sec_h1_ps2_linear_nr128,76,76,0,4,13,0,13,0,0,0,4,0,0,53,13,150,4,0/32,188215,72,9978,138.583328,0.0478867255,0.0444226004,0.00346412347,42,42,30,30,0,0
para_sec_h1_ps2_linear_nr256,79,79,0,7,7,0,7,0,0,1,6,0,0,28,7,158,7,0/32,188429,72,13159,182.763885,0.0673569366,0.0615722649,0.00578467222,40,40,32,32,0,0
